transDate,close,high,low,open,volume,event
17/08/2016,1.5,1.5,1.5,1.5,0,
18/08/2016,1.5,1.5,1.5,1.5,0,
19/08/2016,1.3,1.3,1.3,1.3,16200,
22/08/2016,1.3,1.3,1.3,1.3,0,
23/08/2016,1.3,1.3,1.3,1.3,0,
24/08/2016,1.3,1.3,1.3,1.3,0,
25/08/2016,1.3,1.3,1.3,1.3,0,
26/08/2016,1.3,1.3,1.3,1.3,0,
29/08/2016,1.3,1.3,1.3,1.3,0,
30/08/2016,1.3,1.3,1.3,1.3,0,
31/08/2016,1.3,1.3,1.3,1.3,0,
01/09/2016,1.3,1.3,1.3,1.3,0,
05/09/2016,1.3,1.3,1.3,1.3,0,
06/09/2016,1.3,1.3,1.3,1.3,0,
07/09/2016,1.3,1.3,1.3,1.3,0,
08/09/2016,1.3,1.3,1.3,1.3,0,
09/09/2016,1.3,1.3,1.3,1.3,0,
12/09/2016,1.3,1.3,1.3,1.3,0,
13/09/2016,1.3,1.3,1.3,1.3,0,
14/09/2016,1.3,1.3,1.3,1.3,0,
15/09/2016,1.3,1.3,1.3,1.3,0,
16/09/2016,1.3,1.3,1.3,1.3,0,
19/09/2016,1.3,1.3,1.3,1.3,0,
20/09/2016,1.3,1.3,1.3,1.3,0,
21/09/2016,1.3,1.3,1.3,1.3,0,
22/09/2016,1.3,1.3,1.3,1.3,0,
23/09/2016,1.3,1.3,1.3,1.3,0,
26/09/2016,1.3,1.3,1.3,1.3,0,
27/09/2016,1.3,1.3,1.3,1.3,0,
28/09/2016,1.3,1.3,1.3,1.3,0,
29/09/2016,1.3,1.3,1.3,1.3,0,
30/09/2016,1.3,1.3,1.3,1.3,0,
03/10/2016,1.3,1.3,1.3,1.3,0,
04/10/2016,1.3,1.3,1.3,1.3,0,
05/10/2016,1.3,1.3,1.3,1.3,0,
06/10/2016,1.3,1.3,1.3,1.3,0,
07/10/2016,1.3,1.3,1.3,1.3,0,
10/10/2016,1.3,1.3,1.3,1.3,0,
11/10/2016,1.3,1.3,1.3,1.3,0,
12/10/2016,1.3,1.3,1.3,1.3,0,
13/10/2016,1.3,1.3,1.3,1.3,0,
14/10/2016,1.2,1.2,1.2,1.2,100,
17/10/2016,1.2,1.2,1.2,1.2,0,
18/10/2016,1.2,1.2,1.2,1.2,0,
19/10/2016,1.2,1.2,1.2,1.2,0,
20/10/2016,1.2,1.2,1.2,1.2,0,
21/10/2016,1.2,1.2,1.2,1.2,0,
24/10/2016,1.2,1.2,1.2,1.2,0,
25/10/2016,1.2,1.2,1.2,1.2,0,
26/10/2016,1.2,1.2,1.2,1.2,0,
27/10/2016,1.2,1.2,1.2,1.2,0,
28/10/2016,1.2,1.2,1.2,1.2,0,
31/10/2016,1.2,1.2,1.2,1.2,0,
01/11/2016,1.2,1.2,1.2,1.2,0,
02/11/2016,1.2,1.2,1.2,1.2,0,
03/11/2016,1.2,1.2,1.2,1.2,0,
04/11/2016,1.3,1.3,1.3,1.3,100,
07/11/2016,1.3,1.3,1.3,1.3,0,
08/11/2016,1.3,1.3,1.3,1.3,0,
09/11/2016,1.3,1.3,1.3,1.3,0,
10/11/2016,1.3,1.3,1.3,1.3,0,
11/11/2016,1.3,1.3,1.3,1.3,0,
14/11/2016,1.3,1.3,1.3,1.3,0,
15/11/2016,1.3,1.3,1.3,1.3,0,
16/11/2016,1.3,1.3,1.3,1.3,0,
17/11/2016,1.3,1.3,1.3,1.3,0,
18/11/2016,1.2,1.2,1.2,1.2,5800,
21/11/2016,1.2,1.2,1.2,1.2,0,
22/11/2016,1.2,1.2,1.2,1.2,0,
23/11/2016,1.2,1.2,1.2,1.2,0,
24/11/2016,1.2,1.2,1.2,1.2,0,
25/11/2016,1.2,1.2,1.2,1.2,0,
28/11/2016,1.2,1.2,1.2,1.2,0,
29/11/2016,1.2,1.2,1.2,1.2,0,
30/11/2016,1.2,1.2,1.2,1.2,0,
01/12/2016,1.2,1.2,1.2,1.2,0,
02/12/2016,1.2,1.2,1.2,1.2,0,
05/12/2016,1.2,1.2,1.2,1.2,0,
06/12/2016,1.2,1.2,1.2,1.2,0,
07/12/2016,1.2,1.2,1.2,1.2,0,
08/12/2016,1.2,1.2,1.2,1.2,0,
09/12/2016,1.2,1.2,1.2,1.2,0,
12/12/2016,1.2,1.2,1.2,1.2,0,
13/12/2016,1.2,1.2,1.2,1.2,0,
14/12/2016,1.2,1.2,1.2,1.2,0,
15/12/2016,1.2,1.2,1.2,1.2,0,
16/12/2016,1.2,1.2,1.2,1.2,500,
19/12/2016,1.2,1.2,1.2,1.2,0,
20/12/2016,1.2,1.2,1.2,1.2,0,
21/12/2016,1.2,1.2,1.2,1.2,0,
22/12/2016,1.2,1.2,1.2,1.2,0,
23/12/2016,1.2,1.2,1.2,1.2,0,
26/12/2016,1.2,1.2,1.2,1.2,0,
27/12/2016,1.2,1.2,1.2,1.2,0,
28/12/2016,1.2,1.2,1.2,1.2,0,
29/12/2016,1.2,1.2,1.2,1.2,0,
30/12/2016,1.2,1.2,1.2,1.2,300,
03/01/2017,1.2,1.2,1.2,1.2,0,
04/01/2017,1.2,1.2,1.2,1.2,0,
05/01/2017,1.2,1.2,1.2,1.2,0,
06/01/2017,1.2,1.2,1.2,1.2,1900,
09/01/2017,1.2,1.2,1.2,1.2,0,
10/01/2017,1.2,1.2,1.2,1.2,0,
11/01/2017,1.2,1.2,1.2,1.2,0,
12/01/2017,1.2,1.2,1.2,1.2,0,
13/01/2017,1.2,1.2,1.2,1.2,4100,
16/01/2017,1.2,1.2,1.2,1.2,0,
17/01/2017,1.2,1.2,1.2,1.2,0,
18/01/2017,1.2,1.2,1.2,1.2,0,
19/01/2017,1.2,1.2,1.2,1.2,0,
20/01/2017,1.1,1.1,1.1,1.1,6900,
23/01/2017,1.1,1.1,1.1,1.1,0,
24/01/2017,1.1,1.1,1.1,1.1,0,
25/01/2017,1.1,1.1,1.1,1.1,0,
02/02/2017,1.1,1.1,1.1,1.1,0,
03/02/2017,1.1,1.1,1.1,1.1,0,
06/02/2017,1.1,1.1,1.1,1.1,0,
07/02/2017,1.1,1.1,1.1,1.1,0,
08/02/2017,1.1,1.1,1.1,1.1,0,
09/02/2017,1.1,1.1,1.1,1.1,0,
10/02/2017,1.1,1.1,1.1,1.1,0,
13/02/2017,1.1,1.1,1.1,1.1,0,
14/02/2017,1.1,1.1,1.1,1.1,0,
15/02/2017,1.1,1.1,1.1,1.1,0,
16/02/2017,1.1,1.1,1.1,1.1,0,
17/02/2017,1.2,1.2,1.1,1.1,2300,
20/02/2017,1.1,1.1,1.1,1.1,0,
21/02/2017,1.1,1.1,1.1,1.1,0,
22/02/2017,1.1,1.1,1.1,1.1,0,
23/02/2017,1.1,1.1,1.1,1.1,0,
24/02/2017,1.2,1.2,1.2,1.2,2000,
27/02/2017,1.2,1.2,1.2,1.2,0,
28/02/2017,1.2,1.2,1.2,1.2,0,
01/03/2017,1.2,1.2,1.2,1.2,0,
02/03/2017,1.2,1.2,1.2,1.2,0,
03/03/2017,1.3,1.3,1.2,1.2,2100,
06/03/2017,1.2,1.2,1.2,1.2,0,
07/03/2017,1.2,1.2,1.2,1.2,0,
08/03/2017,1.2,1.2,1.2,1.2,0,
09/03/2017,1.2,1.2,1.2,1.2,0,
10/03/2017,1.3,1.3,1.2,1.2,6000,
13/03/2017,1.3,1.3,1.3,1.3,0,
14/03/2017,1.3,1.3,1.3,1.3,0,
15/03/2017,1.3,1.3,1.3,1.3,0,
16/03/2017,1.3,1.3,1.3,1.3,0,
17/03/2017,1.4,1.4,1.3,1.4,2200,
20/03/2017,1.4,1.4,1.4,1.4,0,
21/03/2017,1.4,1.4,1.4,1.4,0,
22/03/2017,1.4,1.4,1.4,1.4,0,
23/03/2017,1.4,1.4,1.4,1.4,0,
24/03/2017,1.6,1.6,1.6,1.6,2900,
27/03/2017,1.6,1.6,1.6,1.6,0,
28/03/2017,1.6,1.6,1.6,1.6,0,
29/03/2017,1.6,1.6,1.6,1.6,0,
30/03/2017,1.6,1.6,1.6,1.6,0,
31/03/2017,1.6,1.6,1.6,1.6,0,
03/04/2017,1.6,1.6,1.6,1.6,0,
04/04/2017,1.6,1.6,1.6,1.6,0,
05/04/2017,1.6,1.6,1.6,1.6,0,
07/04/2017,1.6,1.6,1.6,1.6,300,
10/04/2017,1.6,1.6,1.6,1.6,0,
11/04/2017,1.6,1.6,1.6,1.6,0,
12/04/2017,1.6,1.6,1.6,1.6,0,
13/04/2017,1.6,1.6,1.6,1.6,0,
14/04/2017,1.6,1.6,1.6,1.6,0,
17/04/2017,1.6,1.6,1.6,1.6,0,
18/04/2017,1.6,1.6,1.6,1.6,0,
19/04/2017,1.6,1.6,1.6,1.6,0,
20/04/2017,1.6,1.6,1.6,1.6,0,
21/04/2017,1.6,1.6,1.6,1.6,0,
24/04/2017,1.6,1.6,1.6,1.6,0,
25/04/2017,1.6,1.6,1.6,1.6,0,
26/04/2017,1.6,1.6,1.6,1.6,0,
27/04/2017,1.6,1.6,1.6,1.6,0,
28/04/2017,1.6,1.6,1.6,1.6,0,
03/05/2017,1.6,1.6,1.6,1.6,0,
04/05/2017,1.6,1.6,1.6,1.6,0,
05/05/2017,1.6,1.6,1.6,1.6,0,
08/05/2017,1.6,1.6,1.6,1.6,0,
09/05/2017,1.6,1.6,1.6,1.6,0,
10/05/2017,1.6,1.6,1.6,1.6,0,
11/05/2017,1.6,1.6,1.6,1.6,0,
12/05/2017,1.6,1.6,1.6,1.6,0,
15/05/2017,1.6,1.6,1.6,1.6,0,
16/05/2017,1.6,1.6,1.6,1.6,0,
17/05/2017,1.6,1.6,1.6,1.6,0,
18/05/2017,1.6,1.6,1.6,1.6,0,
19/05/2017,1.8,1.8,1.8,1.8,100,
22/05/2017,1.8,1.8,1.8,1.8,0,
23/05/2017,1.8,1.8,1.8,1.8,0,
24/05/2017,1.8,1.8,1.8,1.8,0,
25/05/2017,1.8,1.8,1.8,1.8,0,
26/05/2017,1.8,1.8,1.8,1.8,0,
29/05/2017,1.8,1.8,1.8,1.8,0,
30/05/2017,1.8,1.8,1.8,1.8,0,
31/05/2017,1.8,1.8,1.8,1.8,0,
01/06/2017,1.8,1.8,1.8,1.8,0,
02/06/2017,1.6,1.6,1.6,1.6,190000,
05/06/2017,1.6,1.6,1.6,1.6,0,
06/06/2017,1.6,1.6,1.6,1.6,0,
07/06/2017,1.6,1.6,1.6,1.6,0,
08/06/2017,1.6,1.6,1.6,1.6,0,
09/06/2017,1.6,1.6,1.6,1.6,0,
12/06/2017,1.6,1.6,1.6,1.6,0,
13/06/2017,1.6,1.6,1.6,1.6,0,
14/06/2017,1.6,1.6,1.6,1.6,0,
15/06/2017,1.6,1.6,1.6,1.6,0,
16/06/2017,1.6,1.6,1.6,1.6,0,
19/06/2017,1.6,1.6,1.6,1.6,0,
20/06/2017,1.6,1.6,1.6,1.6,0,
21/06/2017,1.6,1.6,1.6,1.6,0,
22/06/2017,1.6,1.6,1.6,1.6,0,
23/06/2017,1.4,1.4,1.4,1.4,100,
26/06/2017,1.4,1.4,1.4,1.4,0,
27/06/2017,1.4,1.4,1.4,1.4,0,
28/06/2017,1.4,1.4,1.4,1.4,0,
29/06/2017,1.4,1.4,1.4,1.4,0,
30/06/2017,1.2,1.4,1.2,1.2,14500,
03/07/2017,1.2,1.2,1.2,1.2,0,
04/07/2017,1.2,1.2,1.2,1.2,0,
05/07/2017,1.2,1.2,1.2,1.2,0,
06/07/2017,1.2,1.2,1.2,1.2,0,
07/07/2017,1.3,1.3,1.3,1.3,700,
10/07/2017,1.3,1.3,1.3,1.3,0,
11/07/2017,1.3,1.3,1.3,1.3,0,
12/07/2017,1.3,1.3,1.3,1.3,0,
13/07/2017,1.3,1.3,1.3,1.3,0,
14/07/2017,1.2,1.3,1.2,1.2,7800,
17/07/2017,1.2,1.2,1.2,1.2,0,
18/07/2017,1.2,1.2,1.2,1.2,0,
19/07/2017,1.2,1.2,1.2,1.2,0,
20/07/2017,1.2,1.2,1.2,1.2,0,
21/07/2017,1.2,1.2,1.2,1.2,1900,
24/07/2017,1.2,1.2,1.2,1.2,0,
25/07/2017,1.2,1.2,1.2,1.2,0,
26/07/2017,1.2,1.2,1.2,1.2,0,
27/07/2017,1.2,1.2,1.2,1.2,0,
28/07/2017,1.2,1.2,1.2,1.2,1700,
31/07/2017,1.2,1.2,1.2,1.2,0,
01/08/2017,1.2,1.2,1.2,1.2,0,
02/08/2017,1.2,1.2,1.2,1.2,0,
03/08/2017,1.2,1.2,1.2,1.2,0,
04/08/2017,1.2,1.2,1.2,1.2,0,
07/08/2017,1.2,1.2,1.2,1.2,0,
08/08/2017,1.2,1.2,1.2,1.2,0,
09/08/2017,1.2,1.2,1.2,1.2,0,
10/08/2017,1.2,1.2,1.2,1.2,0,
11/08/2017,1.2,1.2,1.2,1.2,0,
14/08/2017,1.2,1.2,1.2,1.2,0,
15/08/2017,1.2,1.2,1.2,1.2,0,
16/08/2017,1.2,1.2,1.2,1.2,0,
17/08/2017,1.2,1.2,1.2,1.2,0,
18/08/2017,1.2,1.2,1.2,1.2,0,
21/08/2017,1.2,1.2,1.2,1.2,0,
22/08/2017,1.2,1.2,1.2,1.2,0,
23/08/2017,1.2,1.2,1.2,1.2,0,
24/08/2017,1.2,1.2,1.2,1.2,0,
25/08/2017,1.2,1.2,1.2,1.2,0,
28/08/2017,1.2,1.2,1.2,1.2,0,
29/08/2017,1.2,1.2,1.2,1.2,0,
30/08/2017,1.2,1.2,1.2,1.2,0,
31/08/2017,1.2,1.2,1.2,1.2,0,
01/09/2017,1.3,1.3,1.3,1.3,100,
05/09/2017,1.3,1.3,1.3,1.3,0,
06/09/2017,1.3,1.3,1.3,1.3,0,
07/09/2017,1.3,1.3,1.3,1.3,0,
08/09/2017,1.2,1.2,1.2,1.2,1400,
11/09/2017,1.2,1.2,1.2,1.2,0,
12/09/2017,1.2,1.2,1.2,1.2,0,
13/09/2017,1.2,1.2,1.2,1.2,0,
14/09/2017,1.2,1.2,1.2,1.2,0,
15/09/2017,1.2,1.2,1.2,1.2,0,
18/09/2017,1.2,1.2,1.2,1.2,0,
19/09/2017,1.2,1.2,1.2,1.2,0,
20/09/2017,1.2,1.2,1.2,1.2,0,
21/09/2017,1.2,1.2,1.2,1.2,0,
22/09/2017,1.2,1.2,1.2,1.2,5000,
25/09/2017,1.2,1.2,1.2,1.2,0,
26/09/2017,1.2,1.2,1.2,1.2,0,
27/09/2017,1.2,1.2,1.2,1.2,0,
28/09/2017,1.2,1.2,1.2,1.2,0,
29/09/2017,1.2,1.2,1.2,1.2,0,
02/10/2017,1.2,1.2,1.2,1.2,0,
03/10/2017,1.2,1.2,1.2,1.2,0,
04/10/2017,1.2,1.2,1.2,1.2,0,
05/10/2017,1.2,1.2,1.2,1.2,0,
06/10/2017,1.2,1.2,1.2,1.2,0,
09/10/2017,1.2,1.2,1.2,1.2,0,
10/10/2017,1.2,1.2,1.2,1.2,0,
11/10/2017,1.2,1.2,1.2,1.2,0,
12/10/2017,1.2,1.2,1.2,1.2,0,
13/10/2017,1.2,1.2,1.2,1.2,100,
16/10/2017,1.2,1.2,1.2,1.2,0,
17/10/2017,1.2,1.2,1.2,1.2,0,
18/10/2017,1.2,1.2,1.2,1.2,0,
19/10/2017,1.2,1.2,1.2,1.2,0,
20/10/2017,1.1,1.1,1.1,1.1,2000,
23/10/2017,1.1,1.1,1.1,1.1,0,
24/10/2017,1.1,1.1,1.1,1.1,0,
25/10/2017,1.1,1.1,1.1,1.1,0,
26/10/2017,1.1,1.1,1.1,1.1,0,
27/10/2017,1.1,1.1,1.1,1.1,5400,
30/10/2017,1.1,1.1,1.1,1.1,0,
31/10/2017,1.1,1.1,1.1,1.1,0,
01/11/2017,1.1,1.1,1.1,1.1,0,
02/11/2017,1.1,1.1,1.1,1.1,0,
03/11/2017,1.1,1.1,1.1,1.1,3900,
06/11/2017,1.1,1.1,1.1,1.1,0,
07/11/2017,1.1,1.1,1.1,1.1,0,
08/11/2017,1.1,1.1,1.1,1.1,0,
09/11/2017,1.1,1.1,1.1,1.1,0,
10/11/2017,1.1,1.1,1.1,1.1,0,
13/11/2017,1.1,1.1,1.1,1.1,0,
14/11/2017,1.1,1.1,1.1,1.1,0,
15/11/2017,1.1,1.1,1.1,1.1,0,
16/11/2017,1.1,1.1,1.1,1.1,0,
17/11/2017,1.1,1.1,1.1,1.1,0,
20/11/2017,1.1,1.1,1.1,1.1,0,
21/11/2017,1.1,1.1,1.1,1.1,0,
22/11/2017,1.1,1.1,1.1,1.1,0,
23/11/2017,1.1,1.1,1.1,1.1,0,
24/11/2017,1.1,1.1,1.1,1.1,1400,
27/11/2017,1.1,1.1,1.1,1.1,0,
28/11/2017,1.1,1.1,1.1,1.1,0,
29/11/2017,1.1,1.1,1.1,1.1,0,
30/11/2017,1.1,1.1,1.1,1.1,0,
01/12/2017,1.1,1.2,1.0,1.1,55200,
04/12/2017,1.1,1.1,1.1,1.1,0,
05/12/2017,1.1,1.1,1.1,1.1,0,
06/12/2017,1.1,1.1,1.1,1.1,0,
07/12/2017,1.1,1.1,1.1,1.1,0,
08/12/2017,1.1,1.1,1.1,1.1,5000,
11/12/2017,1.1,1.1,1.1,1.1,0,
12/12/2017,1.1,1.1,1.1,1.1,0,
13/12/2017,1.1,1.1,1.1,1.1,0,
14/12/2017,1.1,1.1,1.1,1.1,0,
15/12/2017,1.1,1.1,1.1,1.1,0,
18/12/2017,1.1,1.1,1.1,1.1,0,
19/12/2017,1.1,1.1,1.1,1.1,0,
20/12/2017,1.1,1.1,1.1,1.1,0,
21/12/2017,1.1,1.1,1.1,1.1,0,
22/12/2017,1.2,1.2,1.2,1.2,1000,
25/12/2017,1.2,1.2,1.2,1.2,0,
26/12/2017,1.2,1.2,1.2,1.2,0,
27/12/2017,1.2,1.2,1.2,1.2,0,
28/12/2017,1.2,1.2,1.2,1.2,0,
29/12/2017,1.1,1.1,1.1,1.1,100,
02/01/2018,1.1,1.1,1.1,1.1,0,
03/01/2018,1.1,1.1,1.1,1.1,0,
04/01/2018,1.1,1.1,1.1,1.1,0,
05/01/2018,1.1,1.1,1.1,1.1,100,
08/01/2018,1.1,1.1,1.1,1.1,0,
09/01/2018,1.1,1.1,1.1,1.1,0,
10/01/2018,1.1,1.1,1.1,1.1,0,
11/01/2018,1.1,1.1,1.1,1.1,0,
12/01/2018,1.1,1.1,1.1,1.1,0,
15/01/2018,1.1,1.1,1.1,1.1,0,
16/01/2018,1.1,1.1,1.1,1.1,0,
17/01/2018,1.1,1.1,1.1,1.1,0,
18/01/2018,1.1,1.1,1.1,1.1,0,
19/01/2018,1.1,1.1,1.0,1.0,5100,
22/01/2018,1.1,1.1,1.1,1.1,0,
23/01/2018,1.1,1.1,1.1,1.1,0,
24/01/2018,1.1,1.1,1.1,1.1,0,
25/01/2018,1.1,1.1,1.1,1.1,0,
26/01/2018,1.2,1.2,1.2,1.2,1000,
29/01/2018,1.2,1.2,1.2,1.2,0,
30/01/2018,1.2,1.2,1.2,1.2,0,
31/01/2018,1.2,1.2,1.2,1.2,0,
01/02/2018,1.2,1.2,1.2,1.2,0,
02/02/2018,1.2,1.2,1.2,1.2,0,
05/02/2018,1.2,1.2,1.2,1.2,0,
06/02/2018,1.2,1.2,1.2,1.2,0,
07/02/2018,1.2,1.2,1.2,1.2,0,
08/02/2018,1.2,1.2,1.2,1.2,0,
09/02/2018,1.2,1.2,1.2,1.2,0,
12/02/2018,1.2,1.2,1.2,1.2,0,
13/02/2018,1.2,1.2,1.2,1.2,0,
21/02/2018,1.2,1.2,1.2,1.2,0,
22/02/2018,1.2,1.2,1.2,1.2,0,
23/02/2018,1.3,1.3,1.2,1.2,3000,
26/02/2018,1.2,1.2,1.2,1.2,0,
27/02/2018,1.2,1.2,1.2,1.2,0,
28/02/2018,1.2,1.2,1.2,1.2,0,
01/03/2018,1.2,1.2,1.2,1.2,0,
02/03/2018,1.2,1.2,1.2,1.2,0,
05/03/2018,1.2,1.2,1.2,1.2,0,
06/03/2018,1.2,1.2,1.2,1.2,0,
07/03/2018,1.2,1.2,1.2,1.2,0,
08/03/2018,1.2,1.2,1.2,1.2,0,
09/03/2018,1.3,1.3,1.3,1.3,100,
12/03/2018,1.3,1.3,1.3,1.3,0,
13/03/2018,1.3,1.3,1.3,1.3,0,
14/03/2018,1.3,1.3,1.3,1.3,0,
15/03/2018,1.3,1.3,1.3,1.3,0,
16/03/2018,1.3,1.3,1.3,1.3,0,
19/03/2018,1.3,1.3,1.3,1.3,0,
20/03/2018,1.3,1.3,1.3,1.3,0,
21/03/2018,1.3,1.3,1.3,1.3,0,
22/03/2018,1.3,1.3,1.3,1.3,0,
23/03/2018,1.4,1.4,1.4,1.4,100,
26/03/2018,1.4,1.4,1.4,1.4,0,
27/03/2018,1.4,1.4,1.4,1.4,0,
28/03/2018,1.4,1.4,1.4,1.4,0,
29/03/2018,1.4,1.4,1.4,1.4,0,
30/03/2018,1.6,1.6,1.4,1.4,1100,
02/04/2018,1.4,1.4,1.4,1.4,0,
03/04/2018,1.4,1.4,1.4,1.4,0,
04/04/2018,1.4,1.4,1.4,1.4,0,
05/04/2018,1.4,1.4,1.4,1.4,0,
06/04/2018,1.5,1.6,1.5,1.6,6700,
09/04/2018,1.5,1.5,1.5,1.5,0,
10/04/2018,1.5,1.5,1.5,1.5,0,
11/04/2018,1.5,1.5,1.5,1.5,0,
12/04/2018,1.5,1.5,1.5,1.5,0,
13/04/2018,1.7,1.7,1.7,1.7,100,
16/04/2018,1.7,1.7,1.7,1.7,0,
17/04/2018,1.7,1.7,1.7,1.7,0,
18/04/2018,1.7,1.7,1.7,1.7,0,
19/04/2018,1.7,1.7,1.7,1.7,0,
20/04/2018,1.5,1.5,1.5,1.5,7000,
23/04/2018,1.5,1.5,1.5,1.5,0,
24/04/2018,1.5,1.5,1.5,1.5,0,
26/04/2018,1.5,1.5,1.5,1.5,0,
27/04/2018,1.5,1.5,1.5,1.5,0,
02/05/2018,1.5,1.5,1.5,1.5,0,
03/05/2018,1.5,1.5,1.5,1.5,0,
04/05/2018,1.5,1.5,1.5,1.5,200,
07/05/2018,1.5,1.5,1.5,1.5,0,
08/05/2018,1.5,1.5,1.5,1.5,0,
09/05/2018,1.5,1.5,1.5,1.5,0,
10/05/2018,1.5,1.5,1.5,1.5,0,
11/05/2018,1.5,1.5,1.5,1.5,2000,
14/05/2018,1.5,1.5,1.5,1.5,0,
15/05/2018,1.5,1.5,1.5,1.5,0,
16/05/2018,1.5,1.5,1.5,1.5,0,
17/05/2018,1.5,1.5,1.5,1.5,0,
18/05/2018,1.4,1.4,1.4,1.4,600,
21/05/2018,1.4,1.4,1.4,1.4,0,
22/05/2018,1.4,1.4,1.4,1.4,0,
23/05/2018,1.4,1.4,1.4,1.4,0,
24/05/2018,1.4,1.4,1.4,1.4,0,
25/05/2018,1.4,1.4,1.4,1.4,0,
28/05/2018,1.4,1.4,1.4,1.4,0,
29/05/2018,1.4,1.4,1.4,1.4,0,
30/05/2018,1.4,1.4,1.4,1.4,0,
31/05/2018,1.4,1.4,1.4,1.4,0,
01/06/2018,1.2,1.2,1.2,1.2,7600,
04/06/2018,1.2,1.2,1.2,1.2,0,
05/06/2018,1.2,1.2,1.2,1.2,0,
06/06/2018,1.2,1.2,1.2,1.2,0,
07/06/2018,1.2,1.2,1.2,1.2,0,
08/06/2018,1.1,1.1,1.1,1.1,14200,
11/06/2018,1.1,1.1,1.1,1.1,0,
12/06/2018,1.1,1.1,1.1,1.1,0,
13/06/2018,1.1,1.1,1.1,1.1,0,
14/06/2018,1.1,1.1,1.1,1.1,0,
15/06/2018,1.1,1.1,1.1,1.1,0,
18/06/2018,1.1,1.1,1.1,1.1,0,
19/06/2018,1.1,1.1,1.1,1.1,0,
20/06/2018,1.1,1.1,1.1,1.1,0,
21/06/2018,1.1,1.1,1.1,1.1,0,
22/06/2018,1.2,1.2,1.2,1.2,100,
25/06/2018,1.2,1.2,1.2,1.2,0,
26/06/2018,1.2,1.2,1.2,1.2,0,
27/06/2018,1.2,1.2,1.2,1.2,0,
28/06/2018,1.2,1.2,1.2,1.2,0,
29/06/2018,1.3,1.3,1.3,1.3,100,
02/07/2018,1.3,1.3,1.3,1.3,0,
03/07/2018,1.3,1.3,1.3,1.3,0,
04/07/2018,1.3,1.3,1.3,1.3,0,
05/07/2018,1.3,1.3,1.3,1.3,0,
06/07/2018,1.3,1.3,1.3,1.3,0,
09/07/2018,1.3,1.3,1.3,1.3,0,
10/07/2018,1.3,1.3,1.3,1.3,0,
11/07/2018,1.3,1.3,1.3,1.3,0,
12/07/2018,1.3,1.3,1.3,1.3,0,
13/07/2018,1.3,1.3,1.3,1.3,0,
16/07/2018,1.3,1.3,1.3,1.3,0,
17/07/2018,1.3,1.3,1.3,1.3,0,
18/07/2018,1.3,1.3,1.3,1.3,0,
19/07/2018,1.3,1.3,1.3,1.3,0,
20/07/2018,1.3,1.3,1.3,1.3,0,
23/07/2018,1.3,1.3,1.3,1.3,0,
24/07/2018,1.3,1.3,1.3,1.3,0,
25/07/2018,1.3,1.3,1.3,1.3,0,
26/07/2018,1.3,1.3,1.3,1.3,0,
27/07/2018,1.2,1.2,1.2,1.2,500,
30/07/2018,1.2,1.2,1.2,1.2,0,
31/07/2018,1.2,1.2,1.2,1.2,0,
01/08/2018,1.2,1.2,1.2,1.2,0,
02/08/2018,1.2,1.2,1.2,1.2,0,
03/08/2018,1.2,1.3,1.2,1.2,12000,
06/08/2018,1.2,1.2,1.2,1.2,0,
07/08/2018,1.2,1.2,1.2,1.2,0,
08/08/2018,1.2,1.2,1.2,1.2,0,
09/08/2018,1.2,1.2,1.2,1.2,0,
10/08/2018,1.2,1.2,1.2,1.2,5300,
13/08/2018,1.2,1.2,1.2,1.2,0,
14/08/2018,1.2,1.2,1.2,1.2,0,
15/08/2018,1.2,1.2,1.2,1.2,0,
16/08/2018,1.2,1.2,1.2,1.2,0,
17/08/2018,1.1,1.1,1.1,1.1,100,
20/08/2018,1.1,1.1,1.1,1.1,0,
21/08/2018,1.1,1.1,1.1,1.1,0,
22/08/2018,1.1,1.1,1.1,1.1,0,
23/08/2018,1.1,1.1,1.1,1.1,0,
24/08/2018,1.2,1.2,1.2,1.2,100,
27/08/2018,1.2,1.2,1.2,1.2,0,
28/08/2018,1.2,1.2,1.2,1.2,0,
29/08/2018,1.2,1.2,1.2,1.2,0,
30/08/2018,1.2,1.2,1.2,1.2,0,
31/08/2018,1.2,1.2,1.1,1.1,14700,
04/09/2018,1.2,1.2,1.2,1.2,0,
05/09/2018,1.2,1.2,1.2,1.2,0,
06/09/2018,1.2,1.2,1.2,1.2,0,
07/09/2018,1.1,1.2,1.1,1.2,1500,
10/09/2018,1.1,1.1,1.1,1.1,0,
11/09/2018,1.1,1.1,1.1,1.1,0,
12/09/2018,1.1,1.1,1.1,1.1,0,
13/09/2018,1.1,1.1,1.1,1.1,0,
14/09/2018,1.1,1.1,1.1,1.1,9800,
17/09/2018,1.1,1.1,1.1,1.1,0,
18/09/2018,1.1,1.1,1.1,1.1,0,
19/09/2018,1.1,1.1,1.1,1.1,0,
20/09/2018,1.1,1.1,1.1,1.1,0,
21/09/2018,1.2,1.2,1.2,1.2,100,
24/09/2018,1.2,1.2,1.2,1.2,0,
25/09/2018,1.2,1.2,1.2,1.2,0,
26/09/2018,1.2,1.2,1.2,1.2,0,
27/09/2018,1.2,1.2,1.2,1.2,0,
28/09/2018,1.3,1.3,1.3,1.3,100,
01/10/2018,1.3,1.3,1.3,1.3,0,
02/10/2018,1.3,1.3,1.3,1.3,0,
03/10/2018,1.3,1.3,1.3,1.3,0,
04/10/2018,1.3,1.3,1.3,1.3,0,
